cod_ibge;integrado_snt
3500105;SIM
3500204;SIM
3500303;SIM
3500709;SIM
3500758;NÃO
3500808;NÃO
3500907;SIM
3501004;SIM
3501103;NÃO
3501152;SIM
3501509;NÃO
3501608;SIM
3501905;SIM
3501707;SIM
3501806;SIM
3502002;SIM
3502101;SIM
3502200;SIM
3502309;NÃO
3502408;NÃO
3502507;SIM
3502606;SIM
3502705;SIM
3503000;SIM
3503109;SIM
3503158;NÃO
3503208;SIM
3503307;SIM
3502754;SIM
3502804;SIM
3502903;SIM
3503356;SIM
3503406;SIM
3503505;NÃO
3503604;NÃO
3503703;NÃO
3503802;SIM
3503901;SIM
3503950;SIM
3504008;SIM
3504107;SIM
3504206;NÃO
3504404;NÃO
3504503;SIM
3504305;SIM
3504602;SIM
3504701;NÃO
3504909;SIM
3505104;NÃO
3505203;SIM
3505302;SIM
3505351;NÃO
3505401;SIM
3505500;SIM
3505609;NÃO
3505708;SIM
3505005;NÃO
3505807;SIM
3505906;SIM
3506003;SIM
3506102;SIM
3506201;NÃO
3506300;SIM
3506359;SIM
3506409;NÃO
3506508;SIM
3506607;SIM
3506706;SIM
3506805;SIM
3506904;NÃO
3507001;SIM
3507100;SIM
3507159;NÃO
3507308;NÃO
3507407;SIM
3507456;NÃO
3507209;NÃO
3507506;SIM
3507605;SIM
3507704;NÃO
3507753;NÃO
3507803;SIM
3507902;SIM
3508009;SIM
3508108;SIM
3508207;SIM
3504800;NÃO
3508405;SIM
3508306;NÃO
3508603;SIM
3508702;NÃO
3508801;SIM
3508900;SIM
3509007;SIM
3509106;NÃO
3509205;SIM
3509254;SIM
3509304;SIM
3509403;SIM
3509452;SIM
3509502;SIM
3509601;SIM
3509809;NÃO
3509700;SIM
3509908;SIM
3509957;NÃO
3510153;NÃO
3510302;SIM
3510401;SIM
3510203;SIM
3510500;SIM
3510609;SIM
3510708;NÃO
3510807;SIM
3511003;NÃO
3511102;SIM
3511201;NÃO
3508504;SIM
3511300;SIM
3511409;SIM
3511508;SIM
3511607;SIM
3511706;SIM
3557204;NÃO
3511904;SIM
3512001;SIM
3512100;SIM
3512209;SIM
3512308;SIM
3512407;SIM
3512506;NÃO
3512605;NÃO
3512704;NÃO
3512902;SIM
3512803;SIM
3513009;SIM
3513108;SIM
3513207;SIM
3513405;SIM
3513306;NÃO
3513504;SIM
3513603;SIM
3510906;NÃO
3510005;SIM
3510104;NÃO
3513702;NÃO
3513801;SIM
3513850;SIM
3513900;NÃO
3514007;SIM
3514106;SIM
3514205;SIM
3514304;SIM
3514403;SIM
3514502;NÃO
3514601;SIM
3514700;NÃO
3514809;SIM
3514908;NÃO
3514924;NÃO
3514957;NÃO
3515004;SIM
3515103;SIM
3515129;NÃO
3515152;SIM
3515186;SIM
3515194;SIM
3557303;SIM
3515202;SIM
3515301;NÃO
3515350;NÃO
3515400;SIM
3515608;NÃO
3515509;SIM
3515657;NÃO
3515707;SIM
3515806;NÃO
3515905;NÃO
3516101;SIM
3516002;NÃO
3516200;SIM
3516309;SIM
3516408;SIM
3516507;NÃO
3516705;SIM
3516804;SIM
3516853;SIM
3516903;NÃO
3517000;NÃO
3517109;SIM
3517307;SIM
3517208;NÃO
3517604;SIM
3517505;SIM
3517901;NÃO
3518008;SIM
3518107;NÃO
3518206;SIM
3518305;SIM
3518404;SIM
3517802;SIM
3518503;SIM
3518602;SIM
3518701;SIM
3518800;SIM
3517703;SIM
3518859;NÃO
3517406;SIM
3518909;NÃO
3516606;NÃO
3519006;SIM
3519055;SIM
3519071;SIM
3519105;NÃO
3519204;SIM
3519253;NÃO
3519303;SIM
3519501;NÃO
3519402;SIM
3519600;SIM
3519709;SIM
3519808;SIM
3519907;SIM
3520103;SIM
3520202;SIM
3520004;SIM
3520301;SIM
3520426;SIM
3520442;SIM
3520400;SIM
3520509;SIM
3520608;NÃO
3520707;SIM
3520806;SIM
3520905;SIM
3521002;SIM
3521101;NÃO
3521150;SIM
3521200;NÃO
3521309;SIM
3521408;SIM
3521606;SIM
3521507;NÃO
3521705;SIM
3521903;NÃO
3522000;NÃO
3522109;SIM
3522158;NÃO
3522208;SIM
3522307;SIM
3522406;SIM
3522505;SIM
3522604;SIM
3522653;NÃO
3522802;SIM
3523008;NÃO
3522901;NÃO
3523107;SIM
3523206;SIM
3523305;SIM
3523404;SIM
3523503;SIM
3521804;SIM
3523602;SIM
